Time,Encoder1,Encoder2
13-01-2025 13:09:40.720,0,0
13-01-2025 13:09:40.728,0,0
13-01-2025 13:09:40.731,0,0
13-01-2025 13:09:40.731,0,0
13-01-2025 13:09:40.760,0,0
13-01-2025 13:09:40.760,0,0
13-01-2025 13:09:40.776,0,0
13-01-2025 13:09:40.776,0,0
13-01-2025 13:09:40.792,0,0
13-01-2025 13:09:40.793,0,0
13-01-2025 13:09:40.810,0,0
13-01-2025 13:09:40.811,0,0
13-01-2025 13:09:40.826,0,0
13-01-2025 13:09:40.826,0,0
13-01-2025 13:09:40.843,0,0
13-01-2025 13:09:40.843,0,0
13-01-2025 13:09:40.860,0,0
13-01-2025 13:09:40.861,0,0
13-01-2025 13:09:40.876,0,0
13-01-2025 13:09:40.877,0,0
13-01-2025 13:09:40.892,0,0
13-01-2025 13:09:40.892,0,0
13-01-2025 13:09:40.909,0,0
13-01-2025 13:09:40.909,0,0
13-01-2025 13:09:41.104,0,0
13-01-2025 13:09:41.105,0,0
13-01-2025 13:09:41.126,0,0
13-01-2025 13:09:41.126,0,0
13-01-2025 13:09:41.142,0,0
13-01-2025 13:09:41.147,0,0
13-01-2025 13:09:41.159,0,0
13-01-2025 13:09:41.160,0,0
13-01-2025 13:09:41.176,0,0
13-01-2025 13:09:41.176,0,0
13-01-2025 13:09:41.192,0,0
13-01-2025 13:09:41.192,0,0
13-01-2025 13:09:41.209,0,0
13-01-2025 13:09:41.209,0,0
13-01-2025 13:09:41.226,0,0
13-01-2025 13:09:41.226,0,0
13-01-2025 13:09:41.242,0,0
13-01-2025 13:09:41.242,0,0
13-01-2025 13:09:41.259,0,0
13-01-2025 13:09:41.259,0,0
13-01-2025 13:09:41.276,0,0
13-01-2025 13:09:41.276,0,0
13-01-2025 13:09:41.292,0,0
13-01-2025 13:09:41.293,0,0
13-01-2025 13:09:41.309,0,0
13-01-2025 13:09:41.309,0,0
13-01-2025 13:09:41.325,0,0
13-01-2025 13:09:41.326,0,0
